CH1,CH2,CH3,CH4,Label
88,50,28,21,focus
0,0,14,21,focus
81,46,24,18,focus
0,0,18,23,focus
0,0,0,0,focus
99,68,46,31,focus
0,0,0,3,focus
94,64,45,33,focus
0,0,2,11,focus
92,57,37,28,focus
0,0,7,16,focus
91,52,31,23,focus
0,0,12,20,focus
83,46,25,19,focus
0,0,15,21,focus
71,34,16,12,focus
99,87,71,54,focus
0,0,6,18,focus
99,68,54,45,focus
0,0,3,16,focus
93,58,40,33,focus
0,0,6,16,focus
91,53,32,25,focus
0,0,11,19,focus
87,47,26,19,focus
0,0,15,21,focus
80,43,22,16,focus
34,58,56,46,focus
0,0,0,8,focus
97,66,49,39,focus
0,0,0,10,focus
95,60,42,32,focus
0,0,5,15,focus
92,54,34,26,focus
0,0,9,18,focus
90,49,27,20,focus
0,0,14,21,focus
85,46,24,18,focus
0,8,25,28,focus
0,0,0,0,focus
97,67,45,31,focus
0,0,0,4,focus
97,63,44,32,focus
0,0,3,12,focus
91,56,37,28,focus
0,0,7,16,focus
89,51,30,22,focus
0,0,12,20,focus
82,45,24,18,focus
0,0,15,21,focus
52,15,4,5,focus
98,81,63,46,focus
0,0,2,13,focus
98,66,51,41,focus
0,0,3,14,focus
90,58,39,31,focus
0,0,6,16,focus
91,53,32,24,focus
0,0,11,19,focus
83,47,25,19,focus
0,0,14,21,focus
79,42,21,16,focus
57,72,64,51,focus
0,0,0,13,focus
98,67,51,42,focus
0,0,0,13,focus
96,60,41,32,focus
0,0,5,15,focus
92,54,34,26,focus
0,0,10,18,focus
84,48,26,20,focus
0,0,15,21,focus
81,45,23,17,focus
0,21,34,33,focus
0,0,0,0,focus
97,66,45,32,focus
0,0,0,5,focus
94,62,43,31,focus
0,0,3,12,focus
90,56,36,27,focus
0,0,9,17,focus
91,50,29,21,focus
0,0,14,21,focus
81,45,24,18,focus
0,0,16,22,focus
16,0,0,0,focus
97,71,51,36,focus
0,0,0,6,focus
95,65,47,35,focus
0,0,2,12,focus
91,57,38,29,focus
0,0,6,16,focus
91,52,31,23,focus
0,0,11,19,focus
84,47,25,18,focus
0,0,15,21,focus
77,38,18,14,focus
83,86,71,54,focus
0,0,6,18,focus
99,68,54,45,focus
0,0,3,16,focus
93,59,41,33,focus
0,0,6,16,focus
90,53,33,25,focus
0,0,10,19,focus
84,48,26,19,focus
0,0,15,21,focus
82,44,23,17,focus
4,39,45,40,focus
0,0,0,1,focus
99,66,47,35,focus
0,0,0,7,focus
95,61,42,31,focus
0,0,4,13,focus
89,55,35,26,focus
0,0,9,17,focus
90,50,28,21,focus
0,0,14,20,focus
82,46,24,18,focus
0,0,18,23,focus
0,0,0,0,focus
96,68,46,31,focus
0,0,0,3,focus
94,64,45,33,focus
0,0,2,11,focus
92,57,38,28,focus
0,0,7,16,focus
92,52,31,23,focus
0,0,12,20,focus
82,46,25,19,focus
0,0,14,21,focus
72,34,16,13,focus
98,87,71,54,focus
0,0,6,17,focus
97,68,54,45,focus
0,0,3,16,focus
92,58,40,33,focus
0,0,6,16,focus
90,53,32,25,focus
0,0,11,19,focus
87,48,26,19,focus
0,0,15,21,focus
80,44,23,17,focus
25,54,54,45,focus
0,0,0,7,focus
97,66,49,38,focus
0,0,0,10,focus
96,61,42,32,focus
0,0,5,15,focus
92,55,35,27,focus
0,0,10,18,focus
89,49,27,21,focus
0,0,14,21,focus
81,45,24,18,focus
0,8,25,28,focus
0,0,0,0,focus
99,67,45,31,focus
0,0,0,3,focus
95,63,44,32,focus
0,0,3,12,focus
90,56,37,27,focus
0,0,7,16,focus
91,51,30,22,focus
0,0,13,20,focus
81,45,24,18,focus
0,0,15,21,focus
49,13,2,4,focus
97,80,61,45,focus
0,0,1,12,focus
98,66,50,40,focus
0,0,3,14,focus
93,58,39,31,focus
0,0,6,16,focus
92,53,32,24,focus
0,0,11,19,focus
83,47,25,19,focus
0,0,14,21,focus
78,41,20,15,focus
62,74,65,51,focus
0,0,1,14,focus
99,67,52,42,focus
0,0,1,13,focus
96,59,41,32,focus
0,0,6,15,focus
89,54,34,26,focus
0,0,10,19,focus
84,48,26,20,focus
0,0,15,21,focus
