CH1,CH2,CH3,CH4,Label
0,0,0,7,left
96,64,45,34,left
0,0,3,13,left
92,56,36,27,left
0,0,9,18,left
89,49,26,19,left
0,0,16,22,left
85,44,21,15,left
0,2,24,28,left
0,0,0,0,left
98,72,51,35,left
0,0,0,1,left
98,67,49,36,left
0,0,0,10,left
91,58,39,29,left
0,0,6,15,left
92,52,30,22,left
0,0,14,21,left
83,45,22,16,left
0,0,18,24,left
69,26,8,7,left
100,90,74,55,left
0,0,1,13,left
101,71,58,47,left
0,0,1,14,left
96,61,43,34,left
0,0,5,16,left
90,54,33,25,left
0,0,12,20,left
86,46,23,17,left
0,0,17,23,left
81,42,19,13,left
44,69,65,53,left
0,0,0,8,left
100,71,56,45,left
0,0,0,10,left
98,63,45,35,left
0,0,4,14,left
94,56,36,27,left
0,0,10,19,left
87,48,25,19,left
0,0,16,23,left
84,44,21,15,left
0,15,32,33,left
0,0,0,0,left
99,72,51,36,left
0,0,0,2,left
99,66,48,35,left
0,0,1,11,left
94,58,38,29,left
0,0,8,17,left
93,51,29,21,left
0,0,15,22,left
85,44,21,16,left
0,0,19,24,left
35,0,0,0,left
101,81,63,45,left
0,0,0,7,left
98,69,54,42,left
0,0,0,12,left
94,60,41,32,left
0,0,5,15,left
92,53,32,24,left
0,0,13,20,left
85,46,23,17,left
0,0,17,23,left
80,40,17,13,left
71,84,73,57,left
0,0,0,13,left
101,71,58,48,left
0,0,0,13,left
97,62,44,35,left
0,0,4,15,left
92,55,34,26,left
0,0,11,20,left
86,47,25,18,left
0,0,17,23,left
83,43,20,15,left
0,34,45,41,left
0,0,0,0,left
99,71,52,39,left
0,0,0,5,left
99,65,47,35,left
0,0,2,12,left
91,57,37,28,left
0,0,8,17,left
90,50,28,20,left
0,0,15,22,left
84,44,21,15,left
0,0,19,24,left
4,0,0,0,left
99,74,55,38,left
0,0,0,2,left
98,68,51,38,left
0,0,0,10,left
95,59,41,31,left
0,0,6,15,left
94,53,32,23,left
0,0,13,21,left
87,46,23,17,left
0,0,17,23,left
78,38,16,12,left
91,92,78,59,left
0,0,3,16,left
100,72,60,49,left
0,0,0,14,left
95,62,44,36,left
0,0,5,16,left
95,54,34,26,left
0,0,11,20,left
89,47,24,18,left
0,0,17,23,left
82,43,20,15,left
7,45,52,45,left
0,0,0,0,left
99,70,53,40,left
0,0,0,6,left
99,65,46,35,left
0,0,2,12,left
93,57,37,28,left
0,0,9,18,left
90,50,27,20,left
0,0,16,22,left
85,44,21,15,left
0,0,21,26,left
0,0,0,0,left
98,73,52,35,left
0,0,0,0,left
99,68,50,36,left
0,0,0,10,left
91,59,40,30,left
0,0,6,15,left
91,53,31,23,left
0,0,13,21,left
84,46,23,17,left
0,0,18,24,left
76,34,13,10,left
98,92,76,58,left
0,0,2,15,left
101,72,59,48,left
0,0,1,14,left
96,61,43,35,left
0,0,5,16,left
92,54,33,25,left
0,0,12,20,left
86,46,24,18,left
0,0,17,23,left
81,42,19,14,left
23,60,60,49,left
0,0,0,4,left
99,70,54,42,left
0,0,0,8,left
96,64,45,34,left
0,0,3,13,left
95,56,36,27,left
0,0,9,18,left
89,49,26,19,left
0,0,16,22,left
83,45,21,15,left
0,1,23,27,left
0,0,0,0,left
99,72,51,35,left
0,0,0,1,left
97,67,49,35,left
0,0,0,10,left
94,58,39,29,left
0,0,6,15,left
91,51,30,21,left
0,0,13,20,left
86,45,22,16,left
0,0,18,24,left
69,27,9,7,left
102,90,74,55,left
0,0,1,13,left
98,71,58,47,left
0,0,0,14,left
94,60,42,34,left
0,0,5,16,left
92,54,33,25,left
0,0,12,20,left
88,47,24,18,left
0,0,17,23,left
81,42,19,14,left
39,66,64,52,left
0,0,0,7,left
101,71,55,44,left
0,0,0,9,left
96,63,45,34,left
0,0,3,14,left
92,56,36,27,left
0,0,10,19,left
88,48,26,19,left
0,0,16,22,left
87,44,20,14,left
0,9,28,30,left
0,0,0,0,left
99,71,50,35,left
0,0,0,1,left
97,66,48,34,left
0,0,0,10,left
94,58,38,28,left
0,0,7,16,left
90,51,29,21,left
0,0,14,21,left
82,44,21,15,left
0,0,17,23,left
57,15,1,2,left
100,86,69,50,left
0,0,0,10,left
99,70,56,44,left
0,0,0,13,left
94,60,41,32,left
0,0,5,15,left
94,53,32,24,left
0,0,12,20,left
85,45,23,17,left
0,0,17,23,left
80,40,17,12,left
68,83,73,57,left
0,0,0,13,left
101,72,59,48,left
0,0,0,13,left
96,62,45,36,left
0,0,4,15,left
93,55,35,26,left
0,0,11,20,left
87,48,25,19,left
0,0,17,23,left
82,43,20,15,left
0,30,42,39,left
0,0,0,0,left
99,71,51,38,left
0,0,0,4,left
96,65,46,34,left
0,0,2,12,left
93,57,37,28,left
0,0,8,17,left
90,50,28,20,left
0,0,15,22,left
83,44,21,16,left
0,0,20,25,left
6,0,0,0,left
99,74,54,38,left
0,0,0,2,left
98,68,51,38,left
0,0,0,10,left
95,59,40,30,left
0,0,5,15,left
93,53,31,23,left
0,0,12,20,left
84,45,22,16,left
0,0,16,22,left
77,37,15,11,left
86,90,76,58,left
0,0,1,14,left
100,72,59,48,left
0,0,0,13,left
94,61,43,35,left
0,0,4,15,left
92,55,34,25,left
0,0,11,19,left
86,47,24,18,left
0,0,17,23,left
82,43,20,14,left
0,38,47,42,left
0,0,0,0,left
99,70,52,39,left
0,0,0,5,left
97,65,46,34,left
0,0,2,12,left
91,57,37,28,left
0,0,8,17,left
90,50,27,20,left
0,0,15,22,left
84,45,21,16,left
0,0,20,25,left
0,0,0,0,left
99,73,53,36,left
0,0,0,1,left
97,68,50,37,left
0,0,0,10,left
94,60,40,31,left
0,0,6,15,left
93,53,32,23,left
0,0,13,21,left
87,46,23,17,left
0,0,17,23,left
78,37,16,11,left
93,92,78,59,left
0,0,3,16,left
100,72,60,49,left
0,0,0,15,left
94,61,44,35,left
0,0,5,16,left
92,54,34,26,left
0,0,11,20,left
89,47,24,18,left
0,0,17,23,left
84,44,20,15,left
8,47,53,46,left
0,0,0,0,left
100,70,53,40,left
0,0,0,6,left
96,64,46,34,left
0,0,3,13,left
93,57,36,27,left
0,0,9,18,left
91,49,27,20,left
0,0,16,22,left
84,44,21,15,left
0,0,22,27,left
0,0,0,0,left
98,72,51,35,left
0,0,0,0,left
97,67,49,35,left
0,0,0,10,left
95,58,39,29,left
0,0,6,15,left
93,52,30,22,left
0,0,14,21,left
85,45,22,16,left
0,0,18,23,left
71,30,10,8,left
102,91,75,56,left
0,0,2,14,left
99,71,58,47,left
0,0,0,14,left
96,60,42,34,left
0,0,4,15,left
90,53,32,24,left
0,0,11,19,left
85,46,23,17,left
0,0,17,22,left
81,42,18,13,left
41,67,64,51,left
0,0,0,6,left
99,70,55,43,left
0,0,0,8,left
96,63,45,34,left
0,0,3,13,left
93,56,35,27,left
0,0,9,18,left
91,49,26,19,left
0,0,16,22,left
84,45,21,15,left
0,4,25,29,left
0,0,0,0,left
101,72,51,34,left
0,0,0,1,left
97,67,48,35,left
0,0,0,10,left
92,58,39,29,left
0,0,6,16,left
91,51,29,21,left
0,0,14,21,left
84,45,22,16,left
0,0,18,24,left
62,19,4,4,left
100,87,70,52,left
0,0,0,12,left
99,70,56,45,left
0,0,0,13,left
95,60,42,33,left
0,0,5,15,left
92,53,32,24,left
0,0,12,20,left
85,46,23,17,left
0,0,17,23,left
80,40,18,13,left
56,75,68,54,left
0,0,0,10,left
101,71,56,45,left
0,0,0,11,left
95,62,44,34,left
0,0,4,14,left
92,55,34,26,left
0,0,10,19,left
86,47,25,18,left
0,0,16,22,left
84,43,20,15,left
0,26,39,37,left
0,0,0,0,left
99,70,51,36,left
0,0,0,3,left
96,65,47,34,left
0,0,1,11,left
94,57,37,28,left
0,0,8,17,left
90,50,28,21,left
0,0,14,21,left
82,44,21,16,left
0,0,18,24,left
22,0,0,0,left
102,77,58,41,left
0,0,0,5,left
97,68,52,39,left
0,0,0,11,left
95,59,40,31,left
0,0,5,15,left
93,53,31,23,left
0,0,13,20,left
84,46,23,17,left
0,0,16,23,left
76,36,15,11,left
92,91,76,58,left
0,0,3,15,left
100,72,59,49,left
0,0,0,14,left
95,61,43,35,left
0,0,4,15,left
94,54,33,25,left
0,0,11,19,left
85,47,24,18,left
0,0,17,23,left
82,43,20,15,left
7,44,50,44,left
0,0,0,0,left
99,70,52,39,left
0,0,0,6,left
96,64,46,34,left
0,0,2,12,left
94,57,37,27,left
0,0,8,17,left
90,50,27,20,left
0,0,15,22,left
84,45,21,16,left
0,0,21,25,left
0,0,0,0,left
98,73,52,36,left
0,0,0,1,left
99,68,50,37,left
0,0,0,10,left
91,59,40,30,left
0,0,6,15,left
91,53,31,23,left
0,0,13,20,left
84,45,23,17,left
0,0,17,23,left
76,34,14,10,left
98,91,76,57,left
0,0,2,15,left
101,72,59,48,left
0,0,0,14,left
96,61,43,35,left
0,0,5,16,left
92,54,33,25,left
0,0,11,19,left
85,47,24,18,left
0,0,17,23,left
81,42,19,14,left
17,54,56,47,left
0,0,0,3,left
99,70,53,41,left
0,0,0,7,left
96,64,45,34,left
0,0,3,13,left
94,56,36,27,left
0,0,9,18,left
89,49,27,20,left
0,0,16,22,left
82,44,21,15,left
0,0,22,27,left
0,0,0,0,left
98,72,51,35,left
0,0,0,1,left
96,67,49,36,left
0,0,0,10,left
92,58,39,29,left
0,0,6,15,left
91,52,30,22,left
0,0,13,20,left
84,45,22,16,left
0,0,18,23,left
68,28,10,8,left
99,90,74,55,left
0,0,1,14,left
98,71,58,47,left
0,0,0,14,left
95,60,42,34,left
0,0,4,15,left
91,54,33,25,left
0,0,11,20,left
87,47,24,18,left
0,0,17,23,left
80,41,18,14,left
30,62,61,50,left
0,0,0,5,left
101,70,54,42,left
0,0,0,8,left
96,63,45,34,left
0,0,3,13,left
93,56,36,27,left
0,0,9,18,left
88,48,26,19,left
0,0,16,22,left
87,45,21,15,left
0,4,25,28,left
0,0,0,0,left
98,71,50,34,left
0,0,0,1,left
97,66,48,35,left
0,0,0,10,left
94,58,39,29,left
0,0,7,16,left
91,52,30,22,left
0,0,14,21,left
83,45,22,16,left
0,0,18,24,left
62,20,5,5,left
100,87,71,53,left
0,0,0,12,left
100,70,56,45,left
0,0,0,14,left
93,60,42,33,left
0,0,5,16,left
94,54,32,24,left
0,0,12,20,left
85,46,24,18,left
0,0,17,23,left
78,39,17,13,left
57,75,68,54,left
0,0,0,10,left
100,71,57,46,left
0,0,0,11,left
96,62,44,35,left
0,0,4,15,left
94,55,34,26,left
0,0,11,19,left
88,48,25,19,left
0,0,17,23,left
82,43,20,15,left
0,26,39,37,left
0,0,0,0,left
99,70,51,37,left
0,0,0,3,left
97,65,47,34,left
0,0,2,12,left
92,57,38,28,left
0,0,8,17,left
91,51,29,21,left
0,0,15,22,left
84,44,22,16,left
0,0,19,25,left
19,0,0,0,left
100,77,58,41,left
0,0,0,5,left
98,68,52,39,left
0,0,0,11,left
93,59,41,31,left
0,0,6,16,left
93,53,32,24,left
0,0,13,21,left
84,46,23,17,left
0,0,17,23,left
78,36,15,11,left
93,92,77,58,left
0,0,2,15,left
101,72,59,49,left
0,0,0,14,left
94,61,43,35,left
0,0,5,16,left
92,54,33,25,left
0,0,11,20,left
85,47,24,18,left
0,0,17,23,left
83,42,19,14,left
10,47,52,45,left
0,0,0,0,left
99,70,52,39,left
0,0,0,6,left
96,64,45,34,left
0,0,2,12,left
91,56,36,27,left
0,0,9,17,left
91,49,26,19,left
0,0,15,22,left
82,44,21,15,left
0,0,21,26,left
0,0,0,0,left
100,72,51,35,left
0,0,0,1,left
96,67,49,35,left
0,0,0,10,left
93,58,39,29,left
0,0,6,15,left
92,52,30,22,left
0,0,14,21,left
83,45,22,16,left
0,0,17,23,left
68,27,8,7,left
102,90,73,55,left
0,0,1,13,left
99,71,58,47,left
0,0,0,14,left
96,61,43,34,left
0,0,5,16,left
92,54,33,25,left
0,0,12,20,left
87,46,23,17,left
0,0,17,23,left
81,41,18,13,left
29,62,60,49,left
0,0,0,4,left
99,70,54,42,left
0,0,0,7,left
95,64,45,34,left
0,0,2,13,left
92,56,35,26,left
0,0,9,18,left
90,49,26,19,left
0,0,16,22,left
85,45,21,15,left
0,2,24,27,left
0,0,0,0,left
99,72,51,35,left
0,0,0,1,left
97,67,49,36,left
0,0,0,10,left
91,58,39,29,left
0,0,6,15,left
91,52,30,22,left
0,0,14,21,left
84,45,22,16,left
0,0,18,24,left
69,27,8,7,left
100,90,74,55,left
0,0,1,13,left
99,71,58,47,left
0,0,0,14,left
95,61,43,34,left
0,0,5,16,left
90,53,32,25,left
0,0,11,20,left
86,47,23,17,left
0,0,17,23,left
80,41,18,13,left
28,61,60,49,left
0,0,0,4,left
99,70,54,42,left
0,0,0,8,left
96,64,46,35,left
0,0,3,13,left
94,56,36,27,left
0,0,10,19,left
91,49,26,19,left
0,0,16,23,left
84,44,21,15,left
0,4,26,29,left
0,0,0,0,left
99,72,51,35,left
0,0,0,1,left
97,67,49,36,left
0,0,0,10,left
92,58,39,29,left
0,0,6,16,left
92,52,30,22,left
0,0,14,21,left
85,45,22,16,left
0,0,18,24,left
64,22,6,5,left
99,88,72,54,left
0,0,0,12,left
101,71,57,46,left
0,0,0,13,left
96,60,42,33,left
0,0,5,15,left
93,54,32,24,left
0,0,12,20,left
86,46,23,17,left
0,0,17,23,left
82,41,18,13,left
44,69,65,52,left
0,0,0,7,left
100,71,56,45,left
0,0,0,10,left
95,63,45,35,left
0,0,4,14,left
92,56,35,27,left
0,0,10,19,left
87,48,25,19,left
0,0,17,23,left
86,44,21,15,left
0,15,33,33,left
0,0,0,0,left
98,71,51,36,left
0,0,0,3,left
96,66,48,35,left
0,0,1,11,left
94,58,38,29,left
0,0,8,17,left
91,51,29,21,left
0,0,15,22,left
83,44,21,16,left
0,0,19,24,left
41,4,0,0,left
102,83,65,47,left
0,0,0,8,left
98,70,55,43,left
0,0,0,12,left
95,60,42,32,left
0,0,5,15,left
93,54,32,24,left
0,0,13,21,left
87,46,23,17,left
0,0,17,23,left
78,38,16,12,left
64,80,70,55,left
0,0,0,11,left
100,71,57,46,left
0,0,0,12,left
96,62,44,35,left
0,0,4,15,left
92,55,34,26,left
0,0,11,19,left
89,48,25,18,left
0,0,17,23,left
82,43,20,14,left
0,30,42,39,left
0,0,0,0,left
98,71,51,37,left
0,0,0,4,left
99,65,47,34,left
0,0,2,11,left
94,57,37,28,left
0,0,8,17,left
90,50,28,20,left
0,0,15,22,left
85,44,21,15,left
0,0,20,25,left
11,0,0,0,left
101,75,56,39,left
0,0,0,3,left
99,68,51,38,left
0,0,0,11,left
95,59,40,31,left
0,0,6,15,left
91,52,31,23,left
0,0,13,21,left
84,45,22,17,left
0,0,17,24,left
75,34,14,10,left
97,92,77,58,left
0,0,2,15,left
101,72,59,49,left
0,0,0,14,left
93,61,43,35,left
0,0,5,16,left
92,54,33,25,left
0,0,12,20,left
86,47,24,18,left
0,0,17,23,left
83,42,19,14,left
17,54,56,47,left
0,0,0,2,left
99,70,54,41,left
